Time [s], Analyzer Name, Decoded Protocol Result
5.447392700000000,Async Serial,0x00 (framing error)
5.447410900000000,Async Serial,0xC0
5.447421000000000,Async Serial,0xC0
5.447431100000000,Async Serial,0xFE
5.447441200000000,Async Serial,0xC0
5.447451300000000,Async Serial,0xFE
5.447461400000000,Async Serial,0xFE
5.447471600000000,Async Serial,0xFE
5.447481700000000,Async Serial,0xC0
5.447504400000000,Async Serial,0xC0
5.447514500000000,Async Serial,0xC0
5.447524600000000,Async Serial,0xC0
5.447534700000000,Async Serial,0xC0
5.447544800000000,Async Serial,0xC0
5.447554900000000,Async Serial,0xC0
5.447565100000000,Async Serial,0xC0
5.447575200000000,Async Serial,0xC0
5.447597900000000,Async Serial,0xFE
5.447608000000000,Async Serial,0xFE
5.447618100000000,Async Serial,0xFE
5.447628200000000,Async Serial,0xC0
5.447638300000000,Async Serial,0xC0
5.447648400000000,Async Serial,0xC0
5.447658600000000,Async Serial,0xC0
5.447668700000000,Async Serial,0xC0
5.447691300000000,Async Serial,0xC0
5.447701500000000,Async Serial,0xC0
5.447711600000000,Async Serial,0xC0
5.447721700000000,Async Serial,0xC0
5.447731800000000,Async Serial,0xC0
5.447741900000000,Async Serial,0xFE
5.447752000000000,Async Serial,0xC0
5.447762200000000,Async Serial,0xC0
5.447784800000000,Async Serial,0x00 (framing error)
5.447821400000000,Async Serial,0xFE
5.447831200000000,Async Serial,0xC0
5.447841000000000,Async Serial,0xFE
5.447850900000000,Async Serial,0xC0
5.447860700000000,Async Serial,0xFE
5.447870500000000,Async Serial,0xFE
5.447880300000000,Async Serial,0xFE
5.447890200000000,Async Serial,0xC0
5.447912300000000,Async Serial,0xC0
5.447922100000000,Async Serial,0xC0
5.447931900000000,Async Serial,0xC0
5.447941800000000,Async Serial,0xC0
5.447951600000000,Async Serial,0xFE
5.447961400000000,Async Serial,0xC0
5.447971300000000,Async Serial,0xC0
5.447981100000000,Async Serial,0xC0
5.448003200000000,Async Serial,0xC0
5.448013000000000,Async Serial,0xC0
